Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
America's Greatest Game Shows: Wheel of Fortune & Jeopardy!,PS4,2017,Misc,Ubisoft,0.1,0,0,0.02,0.12
Marvel's Guardians of the Galaxy: The Telltale Series,PS4,2017,Adventure,Warner Bros. Interactive Entertainment,0.06,0.04,0,0.02,0.12
The Walking Dead - The Telltale Series: A New Frontier,XOne,2017,Adventure,Warner Bros. Interactive Entertainment,0.1,0.01,0,0.01,0.12
Teenage Mutant Ninja Turtles: Mutants in Manhattan,PS4,2016,Action,Activision,0.07,0.03,0,0.02,0.12
Life is Strange,XOne,2016,Adventure,Square Enix,0.08,0.03,0,0.01,0.12
7 Days to Die,XOne,2016,Action,Telltale Games,0.09,0.02,0,0.01,0.12
Pro Evolution Soccer 2016,XOne,2015,Sports,Konami Digital Entertainment,0.05,0.06,0,0.01,0.12
Sword Art Online: Hollow Fragment,PS4,2015,Role-Playing,Namco Bandai Games,0,0.11,0,0.02,0.12
God Eater 2: Rage Burst,PS4,2015,Role-Playing,Namco Bandai Games,0,0.01,0.11,0,0.12
Zombie Army Trilogy,XOne,2015,Shooter,Rebellion Developments,0.05,0.05,0,0.01,0.12
Samurai Warriors 4: Empires,PS4,2015,Action,Tecmo Koei,0.03,0.01,0.07,0.01,0.12
Agents of Mayhem,XOne,2017,Action,Deep Silver,0.07,0.03,0,0.01,0.11
The Invisible Hours,PS4,2017,Adventure,GameTrust,0.09,0,0,0.02,0.11
Rime,PS4,2017,Adventure,Grey Box,0.02,0.07,0,0.02,0.11
Constructor HD,PS4,2017,Strategy,System 3,0.09,0,0,0.02,0.11
Minecraft: Story Mode - Season Two,PS4,2017,Adventure,Telltale Games,0.09,0,0,0.02,0.11
Prototype: Biohazard Bundle,XOne,2016,Action,Activision,0.1,0,0,0.01,0.11
Mega Man Legacy Collection,PS4,2016,Platform,Capcom,0.09,0,0,0.02,0.11
Mighty No. 9,PS4,2016,Platform,Deep Silver,0.09,0,0,0.02,0.11
Metal Gear Solid V: The Definitive Experience,XOne,2016,Action,Konami Digital Entertainment,0.1,0,0,0.01,0.11
Digimon Story: Cyber Sleuth,PS4,2016,Role-Playing,Namco Bandai Games,0,0.1,0,0.02,0.11
The Idolmaster: Platinum Stars,PS4,2016,Simulation,Namco Bandai Games,0,0,0.11,0,0.11
SD Gundam G Generation Genesis,PS4,2016,Strategy,Namco Bandai Games,0,0,0.11,0,0.11
Super Robot Wars OG: The Moon Dwellers,PS4,2016,Misc,Namco Bandai Games,0,0,0.11,0,0.11
Gundam Breaker 3,PS4,2016,Action,Namco Bandai Games,0,0,0.11,0,0.11
Darksiders: Warmastered Edition,PS4,2016,Action-Adventure,THQ Nordic,0.07,0.02,0,0.02,0.11
Assassin's Creed Chronicles,PS4,2016,Action,Ubisoft,0.02,0.05,0.02,0.01,0.11
Earth Defense Force 2025.1: The Shadow of New Despair,PS4,2015,Shooter,D3Publisher,0,0,0.11,0,0.11
Ride,XOne,2015,Racing,Milestone S.r.l.,0.05,0.05,0,0.01,0.11
The Witch and the Hundred Knight,PS4,2015,Role-Playing,NIS America,0.03,0.01,0.06,0.01,0.11
Shadow Warrior (2013),PS4,2014,Shooter,Devolver Digital,0,0.09,0,0.02,0.11
Killer Instinct (2013),XOne,2014,Fighting,Microsoft Studios,0.07,0.03,0,0.01,0.11
Stardew Valley,PS4,2017,Simulation,505 Games,0.04,0.04,0,0.02,0.1
Wolfenstein The Two Pack,PS4,2017,Shooter,Bethesda Softworks,0.08,0,0,0.02,0.1
Mega Man Legacy Collection 2,PS4,2017,Action,Capcom,0.06,0,0.02,0.01,0.1
Sudden Strike 4,PS4,2017,Strategy,Kalypso Media,0.05,0.03,0.01,0.02,0.1
Pac-Man Championship Edition 2 + Arcade Game Series,PS4,2017,Action,Namco Bandai Games,0.08,0,0,0.02,0.1
Accel World vs. Sword Art Online: Millennium Twilight,PS4,2017,Action,Namco Bandai Games,0,0.03,0.06,0.01,0.1
Guilty Gear Xrd REV 2,PS4,2017,Fighting,PQube,0.04,0.01,0.03,0.01,0.1
Real Farm,XOne,2017,Simulation,Soedesco,0.08,0,0,0.01,0.1
Yooka-Laylee,XOne,2017,Platform,Sold Out,0.05,0.04,0,0.01,0.1
Final Fantasy XIV Online Complete Edition,PS4,2017,MMO,Square Enix,0.07,0,0.02,0.02,0.1
Musou Stars,PS4,2017,Action,Tecmo Koei,0.03,0,0.06,0.01,0.1
Resident Evil 4 HD,PS4,2016,Action-Adventure,Capcom,0.07,0,0.01,0.02,0.1
Resident Evil Zero,XOne,2016,Action-Adventure,Capcom,0.07,0.02,0,0.01,0.1
NASCAR Heat Evolution,XOne,2016,Racing,Dusenberry Martin Racing,0.09,0,0,0.01,0.1
Pro Evolution Soccer 2017,XOne,2016,Sports,Konami Digital Entertainment,0.05,0.03,0,0.01,0.1
MXGP 2,XOne,2016,Racing,Milestone S.r.l.,0.07,0.02,0,0.01,0.1
Tokyo Xanadu eX+,PS4,2016,Role-Playing,Nihon Falcom Corporation,0.05,0,0.05,0.01,0.1
TrackMania Turbo,XOne,2016,Racing,Ubisoft,0.05,0.04,0,0.01,0.1
Devil May Cry 4,PS4,2015,Action,Capcom,0.01,0,0.09,0,0.1
Divinity: Original Sin,XOne,2015,Role-Playing,Focus Home Interactive,0.06,0.03,0,0.01,0.1
Let's Sing 2016,PS4,2015,Music,Ravenscourt,0.08,0,0,0.02,0.1
Romance of the Three Kingdoms 13,PS4,2015,Action,Tecmo Koei,0.03,0,0.06,0.01,0.1
Dead or Alive 5,XOne,2015,Fighting,Tecmo Koei,0.05,0.03,0.01,0.01,0.1
Natural Doctrine,PS4,2014,Role-Playing,NIS America,0.05,0.02,0.02,0.01,0.1
Puyo Puyo Tetris,PS4,2014,Puzzle,Sega,0.05,0.03,0,0.02,0.1
ATV Drift & Tricks,PS4,2017,Racing,Funbox Media,0.07,0,0,0.02,0.09
MXGP 3: The Official Motocross Videogame,XOne,2017,Racing,Milestone,0.06,0.02,0,0.01,0.09
Taiko no Tatsujin: Drum Session!,PS4,2017,Music,Namco Bandai Games,0,0,0.09,0,0.09
Nights of Azure 2,PS4,2017,Action,Tecmo Koei,0.04,0,0.04,0.01,0.09
Rugby League Live 4,PS4,2017,Sports,Tru Blu Entertainment,0,0.08,0,0.01,0.09
The Technomancer,PS4,2016,Role-Playing,Focus Home Interactive,0.04,0.04,0,0.02,0.09
Summon Night 6: Lost Borders,PS4,2016,Role-Playing,Gaijinworks,0.03,0,0.05,0.01,0.09
Duke Nukem 3D: 20th Anniversary World Tour,PS4,2016,Shooter,Gearbox Software,0.07,0,0,0.02,0.09
Duke Nukem 3D: 20th Anniversary World Tour,XOne,2016,Shooter,Gearbox Software,0.08,0,0,0.01,0.09
Black Rose Valkyrie,PS4,2016,Role-Playing,Idea Factory International,0.04,0,0.04,0.01,0.09
Paragon,PS4,2016,Action,Sony Interactive Entertainment,0.07,0,0,0.02,0.09
Nobunaga's Ambition: Sphere of Influence - Sengoku Risshiden,PS4,2016,Strategy,Tecmo Koei,0.03,0,0.06,0.01,0.09
Rugby 15,XOne,2015,Sports,Bigben Interactive,0.03,0.05,0,0.01,0.09
Grand Ages: Medieval,PS4,2015,Strategy,Kalypso Media,0,0.05,0.03,0.01,0.09
God Eater Resurrection,PS4,2015,Action,Namco Bandai Games,0,0,0.09,0,0.09
Nights of Azure,PS4,2015,Action,Tecmo Koei,0.04,0.04,0,0.02,0.09
Yoru no Nai Kuni,PS4,2015,Role-Playing,Tecmo Koei,0,0,0.09,0,0.09
Toy Soldiers: War Chest,PS4,2015,Action,Ubisoft,0.07,0,0,0.02,0.09
Lara Croft and the Temple of Osiris,PS4,2014,Action,Square Enix,0,0.07,0,0.01,0.09
The Wolf Among Us,XOne,2014,Adventure,Telltale Games,0.06,0.02,0,0.01,0.09
The Sexy Brutale,PS4,2017,Adventure,Badland Studio,0.05,0.02,0,0.01,0.08
Micro Machines: World Series,XOne,2017,Racing,Codemasters,0.02,0.05,0,0.01,0.08
Elite: Dangerous,XOne,2017,Simulation,Frontier Developments,0.07,0,0,0.01,0.08
Rapala Fishing Pro Series,PS4,2017,Simulation,GameMill,0.06,0,0,0.02,0.08
Bulletstorm: Full Clip Edition,XOne,2017,Shooter,Gearbox Software,0.06,0.01,0,0.01,0.08
America's Greatest Game Shows: Wheel of Fortune & Jeopardy!,XOne,2017,Misc,Ubisoft,0.08,0,0,0.01,0.08
Assetto Corsa,PS4,2016,Racing,505 Games,0,0.06,0.01,0.01,0.08
Ghostbusters (2016),PS4,2016,Action,Activision,0.07,0,0,0.02,0.08
Dead Rising,PS4,2016,Action,Capcom,0.04,0,0.02,0.01,0.08
Dead Island Definitive Collection,XOne,2016,Action,Deep Silver,0.05,0.03,0,0.01,0.08
Loading Human,PS4,2016,Adventure,Maximum Games,0.05,0.02,0,0.01,0.08
Agatha Christie's The ABC Murders,PS4,2016,Adventure,Microids,0.05,0.02,0,0.02,0.08
Ride 2,XOne,2016,Racing,Milestone S.r.l,0.06,0.01,0,0.01,0.08
Akiba's Beat,PS4,2016,Action,PQube,0.05,0,0.01,0.01,0.08
WRC 6,PS4,2016,Racing,PQube,0.03,0.02,0.01,0.01,0.08
Atelier Firis: The Alchemist of the Mysterious Journey,PS4,2016,Role-Playing,Tecmo Koei,0.02,0,0.05,0.01,0.08
Hasbro Family Fun Pack Conquest Edition,PS4,2016,Misc,Ubisoft,0.07,0,0,0.02,0.08
Shantae: Half-Genie Hero,PS4,2016,Platform,Xseed Games,0.06,0,0.01,0.01,0.08
Legend of Kay,PS4,2015,Action,Nordic Games,0.03,0.03,0,0.01,0.08
Darksiders II,XOne,2015,Action-Adventure,Nordic Games,0.05,0.03,0,0.01,0.08
Earth Defense Force 4.1: The Shadow of New Despair,PS4,2015,Shooter,PQube,0.05,0.02,0,0.01,0.08
BlazBlue: Chrono Phantasma Extend,XOne,2015,Fighting,PQube,0.06,0.01,0,0.01,0.08
Bladestorm: Nightmare,XOne,2015,Action,Tecmo Koei,0.06,0.02,0,0.01,0.08
Just Dance: Disney Party 2,XOne,2015,Music,Ubisoft,0.06,0.01,0,0.01,0.08
Toy Soldiers: War Chest,XOne,2015,Action,Ubisoft,0.07,0,0,0.01,0.08
Sherlock Holmes: Crimes & Punishments,XOne,2014,Adventure,Focus Home Interactive,0.03,0.04,0,0.01,0.08
SG/ZH: School Girl/Zombie Hunter,PS4,2017,Action,Aksys Games,0.04,0,0.02,0.01,0.07
Hunting Simulator,PS4,2017,Shooter,Bigben Interactive,0.06,0,0,0.01,0.07
WRC 7,PS4,2017,Racing,Bigben Interactive,0.06,0,0,0.01,0.07
Styx: Shards of Darknes,PS4,2017,Action,Focus Home Interactive,0.06,0,0,0.01,0.07
Le Tour de France 2017,PS4,2017,Simulation,Focus Home Interactive,0,0.06,0,0.01,0.07
Has-Been Heroes,PS4,2017,Action,GameTrust,0.06,0,0,0.01,0.07
Disneyland Adventures,XOne,2017,Action-Adventure,Microsoft Studios,0.05,0.01,0,0.01,0.07
R.B.I. Baseball 2017,XOne,2017,Sports,MLB.com,0.06,0,0,0.01,0.07
City Shrouded in Shadow,PS4,2017,Action-Adventure,Namco Bandai Games,0,0,0.07,0,0.07
The Witch and the Hundred Knights 2,PS4,2017,Role-Playing,Nippon Ichi Software,0.03,0,0.03,0.01,0.07
God Wars: Future Past,PS4,2017,Role-Playing,NIS America,0.03,0.01,0.02,0.01,0.07
The Silver Case,PS4,2017,Visual Novel,NIS America,0.05,0,0.01,0.01,0.07
Fortune Street: Dragon Quest & Final Fantasy 30th Anniversary,PS4,2017,Misc,Square Enix,0,0,0.07,0,0.07
Constructor HD,XOne,2017,Strategy,System 3,0.07,0,0,0.01,0.07
Batman: The Enemy Within,PS4,2017,Adventure,Telltale Games,0.05,0,0,0.01,0.07
The Walking Dead: A Telltale Series Collection,PS4,2017,Adventure,Warner Bros. Interactive Entertainment,0.06,0,0,0.01,0.07
Teenage Mutant Ninja Turtles: Mutants in Manhattan,XOne,2016,Action,Activision,0.05,0.01,0,0.01,0.07
Ghostbusters (2016),XOne,2016,Action,Activision,0.06,0,0,0.01,0.07
Atari Flashback Classics: Volume 1,PS4,2016,Misc,Atari,0.05,0,0,0.01,0.07
Resident Evil 5 HD,PS4,2016,Action,Capcom,0.05,0,0.01,0.01,0.07
Dead Rising 2,PS4,2016,Action,Capcom,0.04,0,0.02,0.01,0.07
Resident Evil 6,XOne,2016,Shooter,Capcom,0.06,0,0,0.01,0.07
Warhammer: The End Times - Vermintide,PS4,2016,Action,Games Workshop,0.03,0.03,0,0.01,0.07
Kamen Rider: Battride War Genesis,PS4,2016,Action,Namco Bandai Games,0,0,0.07,0,0.07
Valentino Rossi: The Game,XOne,2016,Racing,Namco Bandai Games,0.05,0.02,0,0.01,0.07
Touhou Genso Rondo: Bullet Ballet,PS4,2016,Shooter,NIS America,0.06,0,0,0.01,0.07
Project Setsuna,PS4,2016,Role-Playing,Square Enix,0,0,0.07,0,0.07
Samurai Warriors: Sanada Maru,PS4,2016,Action,Tecmo Koei,0.02,0,0.05,0.01,0.07
Batman: A Telltale Game Series,XOne,2016,Adventure,Telltale Games,0.06,0.01,0,0.01,0.07
ZombiU,PS4,2016,Action,Ubisoft,0,0.04,0.01,0.01,0.07
Risen 3: Titan Lords,PS4,2015,Role-Playing,Deep Silver,0,0.06,0,0.01,0.07
The Book of Unwritten Tales 2,PS4,2015,Adventure,Nordic Games,0,0.06,0,0.01,0.07
Legend of Kay Anniversary,PS4,2015,Action,Nordic Games,0,0.06,0,0.01,0.07
Steins;Gate 0,PS4,2015,Adventure,PQube,0,0,0.07,0,0.07
The Golf Club,XOne,2015,Sports,Ravenscourt,0.07,0,0,0.01,0.07
Broken Sword 5: The Serpent's Curse,PS4,2015,Adventure,Revolution Software,0,0.06,0,0.01,0.07
Terraria,PS4,2014,Action,505 Games,0,0.05,0.01,0.01,0.07
Dynasty Warriors 8: Empires,XOne,2014,Action,Tecmo Koei,0.04,0.02,0,0.01,0.07
Hunting Simulator,XOne,2017,Shooter,Bigben Interactive,0.05,0,0,0.01,0.06
Okami,XOne,2017,Action,Capcom,0.05,0,0,0.01,0.06
Styx: Shards of Darknes,XOne,2017,Action,Focus Home Interactive,0.05,0,0,0.01,0.06
Rapala Fishing Pro Series,XOne,2017,Simulation,GameMill,0.05,0,0,0.01,0.06
Rugby 18,PS4,2017,Sports,Koch Media,0.05,0,0,0.01,0.06
MotoGP 17,XOne,2017,Racing,Koch Media,0.04,0.02,0,0.01,0.06
Outcast: Second Contact,PS4,2017,Adventure,Maximum Games,0.05,0,0,0.01,0.06
Golf Club 2,XOne,2017,Sports,Maximum Games,0.05,0,0,0.01,0.06
The Binding of Isaac,PS4,2017,Misc,Nicalis,0.05,0,0,0.01,0.06
Birthdays the Beginning,PS4,2017,Misc,NIS America,0.05,0,0,0.01,0.06
Yomawari: Midnight Shadows,PS4,2017,Action,NIS America,0.02,0,0.04,0,0.06
Deformers,PS4,2017,Action,Ready at Dawn,0.05,0,0,0.01,0.06
Aven Colony,PS4,2017,Strategy,Sold Out,0.04,0.01,0,0.01,0.06
Aven Colony,XOne,2017,Strategy,Sold Out,0.06,0,0,0.01,0.06
Dragon Quest X: All in One Package,PS4,2017,Role-Playing,Square Enix,0,0,0.06,0,0.06
Atelier Liddy and Soeur: Alchemists of the Mysterious Painting,PS4,2017,Role-Playing,Tecmo Koei,0.03,0,0.03,0.01,0.06
MX vs ATV Supercross Encore 2017 Track Edition,PS4,2017,Racing,THQ Nordic,0.05,0,0,0.01,0.06
Sine Mora,PS4,2017,Action,THQ Nordic,0.03,0.01,0,0.01,0.06
Battle Chasers: Nightwar,PS4,2017,Role-Playing,THQ Nordic,0.03,0.02,0,0.01,0.06
MX vs ATV Supercross Encore 2017 Track Edition,XOne,2017,Racing,THQ Nordic,0.05,0,0,0.01,0.06
Killing Floor 2 ,XOne,2017,Shooter,Tripwire Interactive,0.05,0,0,0.01,0.06
King's Quest: The Complete Collection,PS4,2016,Adventure,Activision,0.05,0,0,0.01,0.06
Atari Flashback Classics: Volume 2,PS4,2016,Misc,Atari,0.05,0,0,0.01,0.06
Atari Flashback Classics: Volume 1,XOne,2016,Misc,Atari,0.06,0,0,0.01,0.06
Atari Flashback Classics: Volume 2,XOne,2016,Misc,Atari,0.05,0,0,0.01,0.06
Sherlock Holmes: The Devil's Daughter,PS4,2016,Adventure,Bigben Interactive,0.05,0,0,0.01,0.06
Sherlock Holmes: The Devil's Daughter,XOne,2016,Adventure,Bigben Interactive,0.05,0,0,0.01,0.06
Mark McMorris Infinite Air,PS4,2016,Sports,Maximum Games,0.05,0,0,0.01,0.06
Cartoon Network Battle Crashers,PS4,2016,Action,Maximum Games,0.05,0,0,0.01,0.06
Cartoon Network Battle Crashers,XOne,2016,Action,Maximum Games,0.05,0.01,0,0.01,0.06
Mark McMorris Infinite Air,XOne,2016,Sports,Maximum Games,0.05,0,0,0.01,0.06
R.B.I. Baseball 2016,XOne,2016,Sports,MLB.com,0.05,0,0,0.01,0.06
Dead or Alive Xtreme 3: Fortune,PS4,2016,Sports,Tecmo Koei,0,0,0.06,0,0.06
Arslan: The Warriors of Legend,XOne,2016,Action,Tecmo Koei,0.05,0,0,0.01,0.06
Hasbro Family Fun Pack Conquest Edition,XOne,2016,Misc,Ubisoft,0.05,0,0,0.01,0.06
Exist Archive: The Other Side of the Sky,PS4,2015,Role-Playing,Aksys Games,0.02,0,0.03,0,0.06
Rugby World Cup 2015,PS4,2015,Sports,Big Ben Interactive,0,0.05,0,0.01,0.06
Handball 16,PS4,2015,Sports,Bigben Interactive,0,0.05,0,0.01,0.06
WRC 5: FIA World Rally Championship,PS4,2015,Racing,Bigben Interactive,0,0.05,0,0.01,0.06
Wasteland 2,XOne,2015,Role-Playing,Deep Silver,0.05,0.01,0,0.01,0.06
Adventure Time: Finn & Jake Investigations,XOne,2015,Action,Little Orbit,0.04,0.02,0,0.01,0.06
Sword Art Online: Game Director's Edition,PS4,2015,Role-Playing,Namco Bandai Games,0,0,0.06,0,0.06
MX vs. ATV Supercross Encore,PS4,2015,Sports,Nordic Games,0,0.05,0,0.01,0.06
MX vs. ATV Supercross Encore,XOne,2015,Sports,Nordic Games,0.05,0,0,0.01,0.06
Game of Thrones (Telltale),PS4,2015,Adventure,Telltale Games,0.05,0,0,0.01,0.06
Nobunaga no Yabou: Souzou,PS4,2014,Strategy,Tecmo Koei,0,0,0.06,0,0.06
Bubsy: The Woolies Strike Back,PS4,2017,Platform,Accolade,0.04,0,0,0.01,0.05
WRC 7,XOne,2017,Racing,Bigben Interactive,0.04,0,0,0.01,0.05
Has-Been Heroes,XOne,2017,Action,GameTrust,0.04,0,0,0.01,0.05
Rugby 18,XOne,2017,Sports,Koch Media,0.04,0,0,0.01,0.05
Syberia III,PS4,2017,Adventure,Microids,0.04,0,0,0.01,0.05
Touhou Genso Wanderer,PS4,2017,Action,NIS America,0.04,0,0,0.01,0.05
Demon Gaze 2,PS4,2017,Role-Playing,NIS America,0.04,0,0,0.01,0.05
Ben 10 (2017),PS4,2017,Action,Outright Games,0.04,0,0,0.01,0.05
Pillars of Eternity,XOne,2017,Role-Playing,Paradox Interactive ,0.04,0,0,0.01,0.05
Deformers,XOne,2017,Action,Ready at Dawn,0.04,0,0,0.01,0.05
Phantasy Star Online 2 Episode 4: Deluxe Package,PS4,2017,Role-Playing,Sega,0,0,0.05,0,0.05
Real Farm,PS4,2017,Simulation,Soedesco,0.04,0,0,0.01,0.05
Starblood Arena VR,PS4,2017,Shooter,Sony Interactive Entertainment,0.04,0,0,0.01,0.05
Batman: The Enemy Within,XOne,2017,Adventure,Telltale Games,0.04,0,0,0.01,0.05
Black Mirror,PS4,2017,Adventure,THQ Nordic,0.04,0,0,0.01,0.05
Baja: Edge of Control HD,XOne,2017,Racing,THQ Nordic,0.05,0,0,0.01,0.05
Marvel's Guardians of the Galaxy: The Telltale Series,XOne,2017,Adventure,Warner Bros. Interactive Entertainment,0.05,0,0,0.01,0.05
The Walking Dead: A Telltale Series Collection,XOne,2017,Adventure,Warner Bros. Interactive Entertainment,0.05,0,0,0.01,0.05
Cars 3: Driven to Win,XOne,2017,Racing,Warner Bros. Interactive Entertainment,0.04,0,0,0.01,0.05
King's Quest: The Complete Collection,XOne,2016,Adventure,Activision,0.04,0,0,0.01,0.05
Sengoku Basara: Sanada Yukimura-Den,PS4,2016,Action,Capcom,0,0,0.05,0,0.05
Resident Evil 4 HD,XOne,2016,Action-Adventure,Capcom,0.04,0,0,0.01,0.05
Mighty No. 9,XOne,2016,Platform,Deep Silver,0.04,0,0,0.01,0.05
The Technomancer,XOne,2016,Role-Playing,Focus Home Interactive,0.03,0.02,0,0,0.05
Monster Jam: Crush It,PS4,2016,Racing,GameMill,0.04,0,0,0.01,0.05
Prison Architect,PS4,2016,Simulation,Introversion Software,0.02,0.02,0,0.01,0.05
Agatha Christie's The ABC Murders,XOne,2016,Adventure,Microids,0.04,0,0,0.01,0.05
Sébastien Loeb Rally Evo,PS4,2016,Racing,Milestone S.r.l,0,0.04,0,0.01,0.05
Marvel Pinball: Epic Collection Volume 1,XOne,2016,Puzzle,Nighthawk Interactive,0.04,0,0,0.01,0.05
Tokyo Twilight Ghost Hunters Daybreak: Special Gigs,PS4,2016,Adventure,NIS America,0.04,0,0,0.01,0.05
Assault Suit Leynos,PS4,2016,Shooter,Rising Star Games,0.04,0,0,0.01,0.05
Overcooked,PS4,2016,Action,Sold Out,0.04,0,0,0.01,0.05
Worms: WMD,PS4,2016,Strategy,Team17 Digital Ltd,0.02,0.02,0,0.01,0.05
Werewolves Within,PS4,2016,Misc,Ubisoft,0.04,0,0,0.01,0.05
Just Sing,XOne,2016,Music,Ubisoft,0.04,0,0,0.01,0.05
Brothers: A Tale of Two Sons,XOne,2015,Adventure,505 Games,0.04,0.01,0,0.01,0.05
Sengoku Basara 4: Sumeragi,PS4,2015,Action,Capcom,0,0,0.05,0,0.05
Saints Row: Gat out of Hell,PS4,2015,Action,Deep Silver,0,0.04,0,0.01,0.05
Nitroplus Blasterz: Heroines Infinite Duel,PS4,2015,Fighting,Marvelous Interactive,0.01,0.01,0.03,0,0.05
Arcania: Gothic 4,PS4,2015,Role-Playing,Nordic Games,0.04,0,0,0.01,0.05
Nobunaga's Ambition: Creation,PS4,2014,Strategy,Tecmo Koei,0.04,0,0,0.01,0.05
Child of Light,PS4,2014,Role-Playing,Ubisoft,0,0.01,0.04,0,0.05
Raid: World War II,PS4,2017,Shooter,505 Games,0.04,0,0,0.01,0.04
INSIDE / LIMBO Double Pack,PS4,2017,Platform,505 Games,0.04,0,0,0.01,0.04
ABZU,PS4,2017,Adventure,505 Games,0.03,0,0,0.01,0.04
Zero Escape The Nonary Games,PS4,2017,Adventure,Aksys Games,0.03,0,0.01,0.01,0.04
Under Night In-Birth Exe:Latest,PS4,2017,Fighting,Arc System Works,0.01,0,0.03,0,0.04
Axiom Verge,PS4,2017,Action,Badland Studio,0.03,0,0,0.01,0.04
Dragon's Dogma,XOne,2017,Role-Playing,Capcom,0.04,0,0,0,0.04
Yonder: The Cloud Catcher Chronicles,PS4,2017,Action,CokeM Interactive,0.03,0,0,0.01,0.04
Megadimension Neptunia VIIR,PS4,2017,Role-Playing,Compile Heart,0.01,0,0.03,0,0.04
Valkyria: Azure Revolution,XOne,2017,Role-Playing,Deep Silver,0.04,0,0,0,0.04
Deer Hunter Reloaded,XOne,2017,Shooter,GameMill Entertainment,0.04,0,0,0,0.04
Vikings: Wolves of Midgard,PS4,2017,Action,Kalypso Media,0.03,0.01,0,0.01,0.04
Dungeons 3,PS4,2017,Strategy,Kalypso Media,0.03,0,0,0.01,0.04
Shadow Tactics: Blades of the Shogun,PS4,2017,Strategy,Kalypso Media,0.02,0.01,0,0.01,0.04
Dead Alliance,PS4,2017,Shooter,Maximum Games,0.04,0,0,0.01,0.04
Deer Hunter Reloaded,PS4,2017,Shooter,Maximum Games,0.04,0,0,0.01,0.04
Road Rage,XOne,2017,Racing,Maximum Games,0.04,0,0,0,0.04
Dead Alliance,XOne,2017,Shooter,Maximum Games,0.03,0,0,0,0.04
Unbox: Newbie's Adventure,PS4,2017,Action,Merge Games,0.03,0,0,0.01,0.04
R.B.I. Baseball 2017,PS4,2017,Sports,MLB.com,0.03,0,0,0.01,0.04
Danganronpa Another Episode: Ultra Despair Girls,PS4,2017,Shooter,NIS America,0.03,0,0.01,0.01,0.04
VR Karts,PS4,2017,Racing,Perp Games,0.03,0,0,0.01,0.04
That's You,PS4,2017,Party,Sony Interactive Entertainment,0.04,0,0,0.01,0.04
Elex,XOne,2017,Role-Playing,THQ Nordic,0.04,0,0,0,0.04
Battle Chasers: Nightwar,XOne,2017,Role-Playing,THQ Nordic,0.04,0,0,0,0.04
Sine Mora,XOne,2017,Action,THQ Nordic,0.03,0,0,0,0.04
Rugby Challenge 3,PS4,2016,Sports,Alternative Software,0,0.04,0,0.01,0.04
Anima - Gate of Memories,PS4,2016,Action,Avanquest,0.01,0.02,0,0.01,0.04
Resident Evil: Umbrella Corps,PS4,2016,Shooter,Capcom,0,0,0.04,0,0.04
Resident Evil 5 HD,XOne,2016,Action,Capcom,0.04,0,0,0,0.04
Dead Rising 2,XOne,2016,Action,Capcom,0.03,0,0,0,0.04
Dead Rising,XOne,2016,Action,Capcom,0.03,0,0,0,0.04
Monster Jam: Crush It,XOne,2016,Racing,GameMill,0.03,0,0,0,0.04
Aragami,PS4,2016,Action,Maximum Games,0.03,0,0,0.01,0.04
R.B.I. Baseball 2016,PS4,2016,Sports,MLB.com,0.04,0,0,0.01,0.04
Air Conflicts: Secret Wars,PS4,2016,Simulation,Nighthawk Interactive,0.03,0,0,0.01,0.04
Marvel Pinball: Epic Collection Volume 1,PS4,2016,Puzzle,Nighthawk Interactive,0.03,0,0,0.01,0.04
Aegis of Earth: Protonovus Assault,PS4,2016,Action,PQube,0.03,0.01,0,0.01,0.04
Lumo,PS4,2016,Puzzle,Rising Star Games,0.03,0,0,0.01,0.04
Overcooked,XOne,2016,Action,Sold Out,0.04,0,0,0,0.04
Here They Lie,PS4,2016,Adventure,Sony Interactive Entertainment,0,0.03,0,0.01,0.04
Darksiders: Warmastered Edition,XOne,2016,Action-Adventure,THQ Nordic,0.04,0,0,0,0.04
Just Sing,PS4,2016,Music,Ubisoft,0.03,0,0,0.01,0.04
Punch Line,PS4,2015,Adventure,5pb,0.03,0,0,0.01,0.04
Hyperdimension Neptunia Victory II,PS4,2015,Role-Playing,Idea Factory International,0,0,0.04,0,0.04
JoJo's Bizarre Adventure: Eyes of Heaven,PS4,2015,Fighting,Namco Bandai Games,0,0,0.04,0,0.04
God Eater Off Shot: Lindow-hen Twin Pack & Animation Vol. 2,PS4,2015,Misc,Namco Bandai Games,0,0,0.04,0,0.04
The Talos Principle,PS4,2015,Puzzle,Nighthawk Interactive,0,0.04,0,0.01,0.04
Game of Thrones (Telltale),XOne,2015,Adventure,Telltale Games,0.04,0,0,0,0.04
Don Bradman Cricket 14,XOne,2015,Sports,Tru Blu Entertainment,0,0.04,0,0,0.04
Assassin's Creed Chronicles: China,PS4,2015,Action-Adventure,Ubisoft,0,0.03,0,0.01,0.04
Terraria,XOne,2014,Action,505 Games,0,0.04,0,0,0.04
Shadow Warrior (2013),XOne,2014,Shooter,Devolver Digital,0,0.04,0,0,0.04
Tour de France 2014,PS4,2014,Sports,Focus Home Interactive,0,0.03,0,0.01,0.04
Warriors Orochi 3,XOne,2014,Action,Tecmo Koei,0.01,0.03,0,0,0.04
Raid: World War II,XOne,2017,Shooter,505 Games,0.03,0,0,0,0.03
